art01,2025-09-01,2025-10-01,coab
bac02,2025-09-01,2025-10-01,efgh
chs03,2025-10-01,,mnop
mon04,2025-01-08,2025-01-15,tyui
clu05,2025-01-09,2025-01-14,asdf
rsk06,2025-01-10,,zxcv
cat07,2025-01-11,2025-01-20,abcd
ttr08,2025-01-12,2025-01-18,lbro
pan09,2025-01-13,,qwer
car10,2025-01-14,2025-01-21,tyui
gta02,2025-01-15,2025-01-25,asdf
mnc03,2025-01-16,,zxcv
mkd03,2025-01-17,2025-01-22,abcd
zel04,2025-01-18,2025-01-28,lbro
fif05,2025-01-19,,qwer
cod06,2025-01-20,2025-01-30,tyui
eld07,2025-01-21,,asdf
for08,2025-01-22,2025-02-01,zxcv
wit10,2025-01-24,,lbro
art01,2025-02-01,2025-02-08,qwer
chs03,2025-02-02,,tyui
scr03,2025-02-03,2025-02-10,asdf
mon04,2025-02-04,2025-02-11,zxcv
clu05,2025-02-05,,abcd
rsk06,2025-02-06,2025-02-15,lbro
cat07,2025-02-07,,qwer
ttr08,2025-02-08,2025-02-16,tyui
pan09,2025-02-09,,asdf
car10,2025-02-10,2025-02-18,zxcv
gta02,2025-02-11,2025-02-21,abcd
mnc03,2025-02-12,,lbro
mkd03,2025-02-13,2025-02-20,qwer
zel04,2025-02-14,,tyui
fif05,2025-02-15,2025-02-25,asdf
cod06,2025-02-16,,zxcv
eld07,2025-02-17,2025-02-27,abcd
for08,2025-02-18,,lbro
wit10,2025-02-20,,tyui
